idParroquiaSalud;idParroquias;idSalud;Parr_ubi
425;286;113;Tonchigue
426;287;113;Vuelta Larga
427;288;113;Chontaduro
428;289;113;Camarones (Cab. en San Vicente)
429;290;113;Montalvo (Cab. en Horqueta)
430;291;113;Mataje (Cab. en Santander)
431;282;110;Rioverde
432;292;113;Súa  (Cab. en La Bocana)
433;293;113;Colón Eloy del María
434;294;113;Ancón (Pichangal) (Cab. en Palma Real)
435;295;113;Calderón
436;296;113;5 de Junio (Cab. en Uimbi)
437;297;113;Concepción
438;298;113;La Tola
439;299;113;Luis Vargas Torres (Cab. en Playa de Oro)
440;300;113;Maldonado
441;301;113;San Francisco de Onzole
442;302;113;Chumundé
443;303;113;San Javier de Cachaví (Cab. en San Javier)
444;304;113;Santa Rita
445;305;113;Urbina
446;306;110;San Gregorio
447;307;113;Bolívar
448;308;110;Daule
449;309;113;Galera
450;310;113;San Francisco
451;306;113;San Gregorio
452;311;113;San José de Chamanga (Cab. en Chamanga)
453;312;113;Cube
454;313;113;Malimpia
455;314;113;Viche
456;315;113;La Unión
457;316;113;Atahualpa (Cab. en Camarones)
458;317;113;Selva Alegre
459;318;113;Santo Domingo de Onzole
460;319;113;Crnel. Carlos Concha Torres (Cab. en Huele)
461;271;113;Esmeraldas
462;320;113;Tululbí (Cab. en Ricaurte)
463;321;113;Lagarto
464;278;110;Rocafuerte
465;322;113;Telembi
466;323;113;Chura (Chancama) (Cab. en El Yerbero)
467;324;113;Tambillo
468;271;49;Esmeraldas
469;271;27;Esmeraldas
470;271;19;Esmeraldas
471;271;34;Esmeraldas
472;273;17;San Lorenzo
473;287;19;Vuelta Larga
474;287;49;Vuelta Larga
475;275;34;Rosa Zárate (Quinindé)
476;285;25;Tachina
477;271;25;Esmeraldas
478;271;14;Esmeraldas
479;273;6;San Lorenzo
480;325;38;Guayaquil
481;325;40;Guayaquil
482;326;38;Milagro
483;327;38;Velasco Ibarra (El Empalme)
484;328;66;San Jacinto de Yaguachi
485;325;77;Guayaquil
486;325;93;Guayaquil
487;325;73;Guayaquil
488;325;95;Guayaquil
489;325;81;Guayaquil
490;325;79;Guayaquil
491;325;76;Guayaquil
492;325;94;Guayaquil
493;325;97;Guayaquil
494;325;69;Guayaquil
495;325;89;Guayaquil
496;325;90;Guayaquil
497;329;38;José Luis Tamayo (Muey)
498;325;101;Guayaquil
499;;64;Eloy Alfaro (Durán)
500;;66;General Villamil (Playas)
